city,year,make,model,trim,odometer,fuel,trans,rto,price,segment,seller_type,locality,pincode,age,avg_km_per_year,usage_category,price_per_year,locality_density,make_model_trim_combo,popularity_score,make_model_year_avg_price,price_deviation_pct
bangalore,2020.0,mg,hector,sharp 2.0 diesel,125669.0,diesel,manual,ka-19,902000.0,mass market,direct seller,bellahalli,560064.0,6.0,20944.83,high,150333.33,15091,mg_hector_sharp 2.0 diesel,222,1009854.11,-10.68
bangalore,2020.0,volkswagen,vento,highline plus 1.0l tsi at,92609.0,petrol,automatic,ka-05,699000.0,mass market,direct seller,bellahalli,560066.0,6.0,15434.83,high,116500.0,15091,volkswagen_vento_highline plus 1.0l tsi at,341,758613.04,-7.86
bangalore,2022.0,honda,city,1.5l i-vtec v cvt 5th gen,63524.0,petrol,automatic,ka-19,995000.0,mass market,direct seller,bellahalli,560064.0,4.0,15881.0,high,248750.0,15091,honda_city_1.5l i-vtec v cvt 5th gen,966,1042281.44,-4.54
bangalore,2022.0,mahindra,thar,lx petrol ht 4wd at,15414.0,petrol,automatic,ka-03,1200000.0,mass market,direct seller,bellahalli,560066.0,4.0,3853.5,low,300000.0,15091,mahindra_thar_lx petrol ht 4wd at,237,1252897.38,-4.22
bangalore,2023.0,toyota,urban cruiser hyryder,g hybrid,64269.0,hybrid,automatic,ka-01,1457000.0,mass market,direct seller,bellahalli,560066.0,3.0,21423.0,high,485666.67,15091,toyota_urban cruiser hyryder_g hybrid,58,1319873.03,10.39
bangalore,2019.0,maruti suzuki,swift,lxi,61483.0,petrol,manual,ka-05,459000.0,mass market,direct seller,bellahalli,560066.0,7.0,8783.29,medium,65571.43,15091,maruti suzuki_swift_lxi,1070,554750.35,-17.26
bangalore,2015.0,honda,brio,s mt,61083.0,petrol,manual,ka-20,319000.0,mass market,direct seller,bellahalli,560064.0,11.0,5553.0,low,29000.0,15091,honda_brio_s mt,237,294566.26,8.29
bangalore,2021.0,maruti suzuki,swift,zxi amt,54257.0,petrol,automatic,ka-51,594000.0,mass market,direct seller,bellahalli,560066.0,5.0,10851.4,medium,118800.0,15091,maruti suzuki_swift_zxi amt,1070,596765.72,-0.46
bangalore,2018.0,datsun,go,t (o),68548.0,petrol,manual,ka-22,179000.0,mass market,direct seller,bellahalli,560064.0,8.0,8568.5,medium,22375.0,15091,datsun_go_t (o),31,206251.56,-13.21
bangalore,2020.0,maruti suzuki,swift,zxi plus amt,73743.0,petrol,automatic,ka-05,602000.0,mass market,direct seller,bellahalli,560066.0,6.0,12290.5,medium,100333.33,15091,maruti suzuki_swift_zxi plus amt,1070,582766.76,3.3
bangalore,2013.0,chevrolet,sail uva,1.2 lt abs,62982.0,petrol,manual,ka-01,260000.0,mass market,direct seller,bellahalli,560066.0,13.0,4844.77,low,20000.0,15091,chevrolet_sail uva_1.2 lt abs,30,208901.29,24.46
bangalore,2018.0,honda,jazz,1.2l i-vtec v,72397.0,petrol,manual,ka-20,470000.0,mass market,direct seller,bellahalli,560064.0,8.0,9049.62,medium,58750.0,15091,honda_jazz_1.2l i-vtec v,369,497934.68,-5.61
bangalore,2021.0,maruti suzuki,new wagon-r,vxi (o) 1.2,44787.0,petrol,manual,ka-26,459000.0,mass market,direct seller,yeswanthpur,560066.0,5.0,8957.4,medium,91800.0,628,maruti suzuki_new wagon-r_vxi (o) 1.2,116,445347.66,3.07
bangalore,2017.0,hyundai,creta,sx plus at 1.6 petrol,127777.0,petrol,automatic,ka-03,601000.0,mass market,direct seller,bellahalli,560066.0,9.0,14197.44,medium,66777.78,15091,hyundai_creta_sx plus at 1.6 petrol,1190,745794.5,-19.41
bangalore,2018.0,maruti suzuki,swift,vxi,101722.0,petrol,manual,ka-05,452000.0,mass market,direct seller,bellahalli,560066.0,8.0,12715.25,medium,56500.0,15091,maruti suzuki_swift_vxi,1070,530852.27,-14.85
bangalore,2018.0,maruti suzuki,baleno,delta diesel 1.3,95453.0,diesel,manual,ka-06,490000.0,mass market,direct seller,bellahalli,560064.0,8.0,11931.62,medium,61250.0,15091,maruti suzuki_baleno_delta diesel 1.3,1056,548877.24,-10.73
bangalore,2017.0,hyundai,creta,sx plus at 1.6 petrol,72272.0,petrol,automatic,ka-09,723000.0,mass market,direct seller,vega city mall,560066.0,9.0,8030.22,medium,80333.33,1492,hyundai_creta_sx plus at 1.6 petrol,1190,745794.5,-3.06
bangalore,2015.0,hyundai,i10,magna 1.1,61436.0,petrol,manual,ka-10,270000.0,mass market,direct seller,yeswanthpur,560022.0,11.0,5585.09,low,24545.45,628,hyundai_i10_magna 1.1,617,281700.2,-4.15
bangalore,2017.0,maruti suzuki,baleno,delta petrol 1.2,65183.0,petrol,manual,ka-03,496000.0,mass market,direct seller,bellahalli,560066.0,9.0,7242.56,low,55111.11,15091,maruti suzuki_baleno_delta petrol 1.2,1056,514334.32,-3.56
bangalore,2019.0,tata,tiago,xza petrol,31033.0,petrol,automatic,ka-22,436000.0,mass market,direct seller,bellahalli,560064.0,7.0,4433.29,low,62285.71,15091,tata_tiago_xza petrol,544,409926.93,6.36
bangalore,2023.0,tata,nexon,xm petrol,13801.0,petrol,manual,ka-02,751000.0,mass market,direct seller,bellahalli,560066.0,3.0,4600.33,low,250333.33,15091,tata_nexon_xm petrol,764,982796.93,-23.59
bangalore,2013.0,maruti suzuki,alto k10,vxi,92367.0,petrol,manual,ka-09,183000.0,mass market,direct seller,vega city mall,560066.0,13.0,7105.15,low,14076.92,1492,maruti suzuki_alto k10_vxi,655,208306.16,-12.15
bangalore,2020.0,ford,ecosport,titanium + 1.5l petrol at,45944.0,petrol,automatic,ka-01,686000.0,mass market,direct seller,bellahalli,560066.0,6.0,7657.33,low,114333.33,15091,ford_ecosport_titanium + 1.5l petrol at,540,682310.87,0.54
bangalore,2017.0,maruti suzuki,vitara brezza,zdi plus,79489.0,diesel,manual,ka-17,680000.0,mass market,direct seller,hunasamaranahalli,562157.0,9.0,8832.11,medium,75555.56,1028,maruti suzuki_vitara brezza_zdi plus,294,647008.69,5.1
bangalore,2017.0,renault,kwid,rxt 1.0 amt,72069.0,petrol,automatic,ka-05,247000.0,mass market,direct seller,bellahalli,560066.0,9.0,8007.67,medium,27444.44,15091,renault_kwid_rxt 1.0 amt,1138,282410.95,-12.54
bangalore,2015.0,hyundai,i10,magna 1.1,36440.0,petrol,manual,ka-51,250000.0,mass market,direct seller,bellahalli,560066.0,11.0,3312.73,low,22727.27,15091,hyundai_i10_magna 1.1,617,281700.2,-11.25
bangalore,2023.0,hyundai,exter,sx(o) connect 1.2 amt,52517.0,petrol,automatic,ka-19,769000.0,mass market,direct seller,bellahalli,560064.0,3.0,17505.67,high,256333.33,15091,hyundai_exter_sx(o) connect 1.2 amt,54,757539.81,1.51
bangalore,2016.0,hyundai,elite i20,asta 1.2,83444.0,petrol,manual,ka-01,468000.0,mass market,direct seller,bellahalli,560066.0,10.0,8344.4,medium,46800.0,15091,hyundai_elite i20_asta 1.2,866,484737.67,-3.45
bangalore,2016.0,tata,zest,xt 90ps diesel,52419.0,diesel,manual,ka-29,353000.0,mass market,direct seller,vega city mall,560066.0,10.0,5241.9,low,35300.0,1492,tata_zest_xt 90ps diesel,139,321133.33,9.92
bangalore,2019.0,renault,kwid,rxt 1.0 (o),57054.0,petrol,manual,ka-01,316000.0,mass market,direct seller,bellahalli,560066.0,7.0,8150.57,medium,45142.86,15091,renault_kwid_rxt 1.0 (o),1138,318731.17,-0.86
bangalore,2018.0,hyundai,creta,sx at 1.6 petrol,82761.0,petrol,automatic,ka-02,740000.0,mass market,direct seller,bellahalli,560066.0,8.0,10345.12,medium,92500.0,15091,hyundai_creta_sx at 1.6 petrol,1190,857152.71,-13.67
bangalore,2015.0,maruti suzuki,alto k10,lxi,66666.0,petrol,manual,ka-51,190000.0,mass market,direct seller,bellahalli,560066.0,11.0,6060.55,low,17272.73,15091,maruti suzuki_alto k10_lxi,655,263027.73,-27.76
