segment,seller type,certified,city,make,model,trim,odometer,fuel,trans,rto,selling price,owner,color,age
Mass Market,S5,No,Bangalore,Maruti Suzuki,Xl6,smart hybrid zeta mt,41245.0,Petrol,Manual,KA-51,914000.0,1.0,Red,7.0
Mass Market,S5,No,Bangalore,Volkswagen,Taigun,15 gt plus tsi dsg,19923.0,Petrol,Automatic,KA-01,1542000.0,1.0,White,3.0
Mass Market,S5,No,Bangalore,Maruti Suzuki,Baleno,alpha mt,28535.0,Petrol,Manual,KA-03,756000.0,1.0,Black,4.0
Mass Market,S5,No,Bangalore,Ford,Ecosport,15 titanium se sunroof,35633.0,Petrol,Manual,KA-09,844000.0,1.0,White,5.0
Mass Market,S5,No,Bangalore,Jeep,Compass,s 02 14 mair ddct,27612.0,Petrol,Automatic,KA-03,1893000.0,1.0,White,4.0
Mass Market,S5,No,Bangalore,Maruti Suzuki,Ertiga,zxi plus smart hybrid,36435.0,Petrol,Automatic,KA-03,998000.0,1.0,White,5.0
Mass Market,S5,No,Bangalore,MG,Hector,sharp pro,33369.0,Petrol,Automatic,KA-51,1478000.0,1.0,White,3.0
Mass Market,S5,No,Bangalore,Maruti Suzuki,Ciaz,vxi plus,45266.0,Petrol,Automatic,KA-03,596000.0,1.0,Maroon,9.0
Mass Market,S5,No,Bangalore,Hyundai,I20,sportz 12 kappa,16241.0,Petrol,Automatic,KA-50,752000.0,1.0,Black,4.0
Mass Market,S5,No,Bangalore,Tata,Nexon,xza plus 12 rtn,48735.0,Petrol,Automatic,KA-05,599000.0,2.0,White,8.0
Mass Market,S5,No,Bangalore,Volkswagen,Polo,12 comfortline,44619.0,Petrol,Automatic,KA-05,562000.0,2.0,Black,8.0
Mass Market,S5,No,Bangalore,Volkswagen,Taigun,gt plus 15 tsi dsg,22431.0,Petrol,Automatic,KA-01,1632000.0,1.0,White,2.0
Mass Market,S5,No,Bangalore,Tata,Safari,7s a bs6 p2 d acc,23055.0,Diesel,Automatic,KA-03,2324000.0,1.0,White,2.0
Mass Market,S5,No,Bangalore,Tata,Nexon,12 xma rtn,30820.0,Petrol,Automatic,KA-51,754000.0,1.0,White,4.0
Mass Market,S5,No,Bangalore,MG,Astor,220turbo 6at savvyred,15713.0,Petrol,Automatic,KA-05,1194000.0,1.0,White,5.0
Mass Market,S5,No,Bangalore,Jeep,Compass,limited mair ddct,33628.0,Petrol,Automatic,KA-04,1283000.0,1.0,White,7.0
Mass Market,S5,No,Bangalore,Tata,Safari,7s a bs6 p2 d acc 2024regd,41393.0,Diesel,Automatic,KA-01,1964000.0,2.0,White,2.0
Luxury,S5,No,Bangalore,Audi,Q3 Sportback,40 tfsi q,13278.0,Petrol,Automatic,KA-01,4499000.0,1.0,White,3.0
Mass Market,S5,No,Bangalore,Tata,Harrier,xza plus 20 kryotec,49771.0,Diesel,Automatic,KA-03,1547000.0,1.0,White,5.0
Mass Market,S5,No,Bangalore,Kia,Seltos,g 15 6mt htx,46705.0,Petrol,Automatic,KA-05,1227000.0,1.0,White,3.0
Mass Market,S5,No,Bangalore,Volkswagen,Taigun,gt plus 15 tsi dsg,32535.0,Petrol,Automatic,KA-51,1356000.0,2.0,White,3.0
Mass Market,S5,No,Bangalore,Kia,Seltos,g 15 6mt htx,36473.0,Petrol,Automatic,KA-34,1444000.0,1.0,White,2.0
Mass Market,S5,No,Bangalore,Hyundai,Creta,16 e plus,56528.0,Petrol,Automatic,KA-53,724000.0,1.0,White,10.0
