segment,seller type,certified,city,make,model,trim,odometer,fuel,trans,rto,selling price,locality,pincode,owner,color,age
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Baleno,ALPHA PETROL 1.2,69949.0,Petrol,Manual,KA-01,456214.0,koramangala,560034.0,1.0,Blue,10.0
Mass Market,S1 Owned,Yes,Bangalore,Mahindra,XUV300,W4 1.2 PETROL,76449.0,Petrol,Manual,KA-05,491500.0,bellahalli,560064.0,2.0,Silver,7.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Swift,ZXi Plus AMT,39053.0,Petrol,Automatic,KA-51,696800.0,gandhi nagar,560009.0,1.0,Brown,2.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Alto K10,VXI,70840.0,Petrol,Manual,KA-51,155000.0,bhoruka tech park,560066.0,3.0,Red,13.0
Mass Market,S1 Owned,Yes,Bangalore,Honda,City,1.5L I-VTEC VX,119166.0,Petrol,Manual,KA-03,460439.0,bellahalli,560064.0,1.0,Brown,11.0
Mass Market,S1 Owned,Yes,Bangalore,Ford,Ecosport,TREND 1.5L DIESEL,105063.0,Diesel,Manual,KA-04,436100.0,bhoruka tech park,560066.0,2.0,White,9.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Celerio,VXI AMT,46658.0,Petrol,Automatic,KA-41,297962.0,bellahalli,560064.0,1.0,Red,11.0
Mass Market,S1 Owned,Yes,Bangalore,Renault,Kwid,RXT 0.8,54980.0,Petrol,Manual,KA-51,225100.0,bhoruka tech park,560066.0,1.0,Grey,10.0
Mass Market,S1 Owned,Yes,Bangalore,Kia,SONET,GTX PLUS 1.0 IMT,49943.0,Petrol,Manual,KA-03,855800.0,bhoruka tech park,560066.0,2.0,White,4.0
Mass Market,S1 Owned,Yes,Bangalore,Nissan,Micra,XL DIESEL,54847.0,Diesel,Manual,KA-01,294600.0,bellahalli,560064.0,3.0,White,9.0
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,Creta,SX (O) 1.4 TURBO DCT,118522.0,Petrol,Automatic,KA-03,873300.0,bellahalli,560064.0,2.0,White,6.0
