brand,model,variant,locality,rto,fuel_type,transmission,seller_type,color,vehicle_age,odometer_reading,km_per_year,owner_count,certified,pincode,selling_price
maruti suzuki,wagon r 1.0,vxi amt,bannerghatta,ka-41,petrol,automatic,dealer,brown,10.0,44500.0,4450.0,3,0.0,560076.0,327000.0
kia,seltos,gtx plus 1.5 diesel at,hebbal,ka-03,diesel,automatic,dealer,grey,4.0,94000.0,23500.0,1,0.0,560103.0,1314000.0
kia,carens,luxury plus 1.5 diesel at 6 str,hebbal,ka-05,diesel,automatic,dealer,white,4.0,73000.0,18250.0,1,1.0,560103.0,1363000.0
hyundai,alcazar,platinum 7 str 1.5 turbo petrol,hebbal,ka-35,petrol,manual,dealer,grey,3.0,23500.0,7833.3,1,1.0,562157.0,1505000.0
kia,seltos,gtx plus dct 1.4,hebbal,ka-01,petrol,automatic,dealer,orange,6.0,46000.0,7666.7,1,1.0,560103.0,1233000.0
maruti suzuki,alto k10,vxi (o) amt,bannerghatta,ka-05,petrol,automatic,dealer,grey,8.0,46500.0,5812.5,2,0.0,560076.0,328000.0
honda,amaze,1.2 s i-vtec,whitefield,ka-04,petrol,manual,dealer,yellow,11.0,145500.0,13227.3,1,0.0,560066.0,337000.0
maruti suzuki,baleno,alpha 1.2,mysore road,ka-03,petrol,manual,dealer,orange,10.0,38000.0,3800.0,2,0.0,560039.0,520000.0
maruti suzuki,celerio,vxi amt,mysore road,ka-50,petrol,automatic,dealer,red,9.0,127000.0,14111.1,1,0.0,560039.0,342000.0
ford,ecosport,titanium 1.0 ecoboost,mysore road,ka-51,petrol,manual,dealer,white,10.0,79000.0,7900.0,1,1.0,560039.0,470000.0
nissan,micra,xv cvt,mysore road,ka-01,petrol,automatic,dealer,blue,12.0,44500.0,3708.3,2,0.0,560039.0,332000.0
hyundai,grand i10,asta at 1.2 kappa vtvt (o),malleshwaram,ka-51,petrol,automatic,dealer,yellow,9.0,30500.0,3388.9,1,1.0,560003.0,525000.0
kia,seltos,gtx plus 1.4,whitefield,ka-05,petrol,manual,dealer,white,6.0,34500.0,5750.0,1,1.0,560066.0,1097000.0
hyundai,alcazar,signature (o) 7 seater 1.5 diesel at,hebbal,ka-51,diesel,automatic,dealer,grey,4.0,69000.0,17250.0,1,1.0,562157.0,1547000.0
hyundai,grand i10,asta 1.2 kappa vtvt,bannerghatta,ka-19,petrol,manual,dealer,red,11.0,57000.0,5181.8,3,0.0,560076.0,343000.0
toyota,corolla altis,1.8 g at,malleshwaram,hr-26,petrol,automatic,dealer,yellow,13.0,50500.0,3884.6,2,0.0,560003.0,533000.0
volkswagen,polo,comfortline 1.2l (p),hebbal,ka-03,petrol,manual,dealer,grey,11.0,83000.0,7545.5,2,0.0,562157.0,443000.0
volkswagen,polo,highline1.5l (d),hebbal,ka-04,diesel,manual,dealer,white,12.0,89500.0,7458.3,2,0.0,562157.0,441000.0
maruti suzuki,ciaz,vxi,hebbal,ka-51,petrol,manual,dealer,white,10.0,97500.0,9750.0,1,0.0,562157.0,445000.0
hyundai,i10,magna 1.1 irde2,malleshwaram,ka-04,petrol,manual,dealer,grey,12.0,44500.0,3708.3,2,0.0,560003.0,288000.0
tata,nexon,xz plus (s) diesel,whitefield,ka-09,diesel,manual,dealer,white,3.0,47500.0,15833.3,1,1.0,560066.0,1043000.0
honda,wr-v,vx mt petrol,malleshwaram,ka-05,petrol,manual,dealer,white,9.0,107500.0,11944.4,2,0.0,560003.0,510000.0
maruti suzuki,estilo,lxi bs-iv,malleshwaram,ka-05,petrol,manual,dealer,white,12.0,28000.0,2333.3,1,0.0,560003.0,262000.0
hyundai,aura,sx plus 1.0 petrol,malleshwaram,ka-03,petrol,manual,dealer,red,6.0,77500.0,12916.7,1,1.0,560003.0,585000.0
honda,amaze,1.2 s i-vtec,hebbal,ka-04,petrol,manual,dealer,red,12.0,50000.0,4166.7,2,0.0,562157.0,342000.0
hyundai,elite i20,magna 1.2,bannerghatta,ka-53,petrol,manual,dealer,red,11.0,60500.0,5500.0,1,1.0,560076.0,453000.0
renault,kiger,rxz 1.0 turbo mt dual tone,bannerghatta,ka-51,petrol,manual,dealer,red,5.0,16000.0,3200.0,1,1.0,560076.0,666000.0
tata,altroz,xz plus (o) (s),bannerghatta,ka-03,petrol,manual,dealer,blue,2.0,26500.0,13250.0,1,1.0,560076.0,847000.0
tata,tigor,xza plus,malleshwaram,ka-16,petrol,automatic,dealer,grey,4.0,117000.0,29250.0,1,0.0,560003.0,594000.0
hyundai,elite i20,asta 1.2 (o),hebbal,ka-53,petrol,manual,dealer,red,10.0,47000.0,4700.0,1,1.0,562157.0,581000.0
