city,year,make,model,trim,odometer,fuel,trans,rto,price,segment,seller type,locality,pincode,age
Bangalore,2020.0,Maruti Suzuki,Swift,ZXI PLUS AMT,73743.0,Petrol,Automatic,KA-05,602000.0,Mass Market,Direct Seller,bellahalli,560066.0,6.0
Bangalore,2013.0,Chevrolet,Sail UVA,1.2 LT ABS,62982.0,Petrol,Manual,KA-01,260000.0,Mass Market,Direct Seller,bellahalli,560066.0,13.0
Bangalore,2018.0,Honda,Jazz,1.2L I-VTEC V,72397.0,Petrol,Manual,KA-20,470000.0,Mass Market,Direct Seller,bellahalli,560064.0,8.0
Bangalore,2021.0,Maruti Suzuki,New Wagon-R,VXI (O) 1.2,44787.0,Petrol,Manual,KA-26,459000.0,Mass Market,Direct Seller,yeswanthpur,560066.0,5.0
Bangalore,2017.0,Hyundai,Creta,SX PLUS AT 1.6 PETROL,127777.0,Petrol,Automatic,KA-03,601000.0,Mass Market,Direct Seller,bellahalli,560066.0,9.0
Bangalore,2018.0,Maruti Suzuki,Swift,VXI,101722.0,Petrol,Manual,KA-05,452000.0,Mass Market,Direct Seller,bellahalli,560066.0,8.0
Bangalore,2018.0,Maruti Suzuki,Baleno,DELTA DIESEL 1.3,95453.0,Diesel,Manual,KA-06,490000.0,Mass Market,Direct Seller,bellahalli,560064.0,8.0
Bangalore,2017.0,Hyundai,Creta,SX PLUS AT 1.6 PETROL,72272.0,Petrol,Automatic,KA-09,723000.0,Mass Market,Direct Seller,vega city mall,560066.0,9.0
Bangalore,2015.0,Hyundai,i10,MAGNA 1.1,61436.0,Petrol,Manual,KA-10,270000.0,Mass Market,Direct Seller,yeswanthpur,560022.0,11.0
Bangalore,2017.0,Maruti Suzuki,Baleno,DELTA PETROL 1.2,65183.0,Petrol,Manual,KA-03,496000.0,Mass Market,Direct Seller,bellahalli,560066.0,9.0
Bangalore,2019.0,Tata,Tiago,XZA PETROL,31033.0,Petrol,Automatic,KA-22,436000.0,Mass Market,Direct Seller,bellahalli,560064.0,7.0
Bangalore,2023.0,Tata,NEXON,XM PETROL,13801.0,Petrol,Manual,KA-02,751000.0,Mass Market,Direct Seller,bellahalli,560066.0,3.0
Bangalore,2013.0,Maruti Suzuki,Alto K10,VXI,92367.0,Petrol,Manual,KA-09,183000.0,Mass Market,Direct Seller,vega city mall,560066.0,13.0
