brand,model,variant,color,segment_class,fuel_type,transmission,vehicle_age,odometer_reading,km_per_year,owner_count,brand_tier,age_km_interaction,ownership_trust_score,vehicle_health_score,is_high_mileage,seller_type,inspected,selling_price,year
maruti suzuki,celerio,vxi,unknown,economy,petrol,manual,11,95484.0,8680.4,1,1,1050324.0,100,57.5,0,dealer,0,305000.0,2015
hyundai,grand i10,sportz 1.2 kappa vtvt,unknown,mid,petrol,manual,7,32270.0,4610.0,1,2,225890.0,100,75.8,0,dealer,0,421000.0,2019
maruti suzuki,alto k10,vxi amt,unknown,economy,petrol,automatic,12,77637.0,6469.8,1,1,931644.0,100,56.2,0,dealer,0,236000.0,2014
hyundai,venue,sx plus 1.0 turbo dct dual tone,unknown,mid,petrol,automatic,4,24238.0,6059.5,1,2,96952.0,100,85.6,0,dealer,0,877000.0,2022
kia,seltos,htk plus 1.5 diesel,unknown,mid,diesel,manual,5,120410.0,24082.0,1,2,602050.0,100,73.0,1,dealer,0,850000.0,2021
mahindra,xuv700,ax 7 p at 7 str,unknown,mid,petrol,automatic,2,12988.0,6494.0,1,2,25976.0,100,92.7,0,dealer,0,2085000.0,2024
skoda,rapid,1.5 tdi cr ambition plus,unknown,mid,diesel,manual,11,75393.0,6853.9,1,2,829323.0,100,59.5,0,dealer,0,356000.0,2015
hyundai,i20,sportz 1.2,unknown,mid,petrol,manual,12,70783.0,5898.6,1,2,849396.0,100,56.9,0,dealer,0,318000.0,2014
renault,duster,rxs cvt,unknown,economy,petrol,automatic,8,98805.0,12350.6,1,1,790440.0,100,66.1,0,dealer,0,555000.0,2018
maruti suzuki,ertiga,zxi,unknown,economy,petrol,manual,11,51063.0,4642.1,1,1,561693.0,100,61.9,0,dealer,0,505000.0,2015
hyundai,elite i20,sportz 1.2 (o),unknown,mid,petrol,manual,11,99365.0,9033.2,1,2,1093015.0,100,57.1,0,dealer,0,473000.0,2015
renault,duster,85 ps rxl diesel,unknown,economy,diesel,manual,11,73904.0,6718.5,1,1,812944.0,100,59.6,0,dealer,0,428000.0,2015
hyundai,elite i20,asta 1.2,unknown,mid,petrol,manual,9,113103.0,12567.0,1,2,1017927.0,100,61.7,0,dealer,0,461000.0,2017
maruti suzuki,baleno,alpha 1.2 ags,unknown,economy,petrol,automatic,3,65327.0,21775.7,1,1,195981.0,100,84.5,1,dealer,0,680000.0,2023
renault,duster,110 ps rxl 4x2 amt,unknown,economy,diesel,automatic,10,77183.0,7718.3,1,1,771830.0,100,62.3,0,dealer,0,550000.0,2016
volkswagen,polo,highline plus 1.0,unknown,mid,petrol,manual,6,70660.0,11776.7,1,2,423960.0,100,74.9,0,dealer,0,689000.0,2020
