brand,model,vehicle_age,odometer_reading,fuel_type,transmission,segment_class,selling_price
maruti suzuki,baleno,6.0,52646.0,petrol,manual,economy,620000.0
honda,city,5.0,59600.0,petrol,automatic,economy,995000.0
hyundai,i20 active,10.0,73127.0,petrol,manual,economy,403670.0
maruti suzuki,celerio,9.0,111051.0,petrol,automatic,economy,350000.0
ford,fiesta classic,15.0,110102.0,petrol,manual,economy,148000.0
honda,city,13.0,113970.0,petrol,manual,economy,350000.0
hyundai,verna,11.0,158900.0,diesel,manual,economy,500000.0
renault,duster,6.0,56880.0,petrol,manual,economy,687300.0
renault,kwid,8.0,44000.0,petrol,manual,economy,296000.0
maruti suzuki,alto k10,12.0,151286.0,petrol,automatic,economy,271000.0
kia,seltos,4.0,97826.0,petrol,manual,economy,970000.0
hyundai,elite i20,8.0,89392.0,diesel,manual,economy,519000.0
maruti suzuki,alto,4.0,6972.0,petrol,manual,economy,343333.0
audi,a6,7.0,45500.0,diesel,automatic,luxury,2290000.0
honda,amaze,12.0,66277.0,petrol,manual,economy,395000.0
hyundai,elite i20,10.0,73712.0,petrol,manual,economy,424900.0
honda,city,13.0,85250.0,petrol,manual,economy,380652.0
tata,nexon,6.0,55000.0,petrol,automatic,economy,737000.0
hyundai,i10,16.0,65726.0,petrol,manual,economy,201808.0
renault,kwid,6.0,48759.0,petrol,automatic,economy,410000.0
honda,city,10.0,85899.0,petrol,automatic,economy,671000.0
mahindra,xuv700,2.0,13000.0,diesel,automatic,economy,2400000.0
renault,duster,11.0,42773.0,petrol,manual,economy,480000.0
jeep,compass,4.0,27612.0,petrol,automatic,economy,1893000.0
maruti suzuki,new wagon-r,5.0,134558.0,cng,manual,economy,379999.0
chevrolet,beat,11.0,49068.0,petrol,manual,economy,274799.0
honda,city,13.0,78000.0,petrol,manual,economy,318000.0
mahindra,xuv500,8.0,47500.0,diesel,automatic,economy,1188000.0
citroen,c3 aircross,2.0,27757.0,petrol,automatic,economy,1250000.0
volvo,xc 90,12.0,143304.0,diesel,automatic,luxury,952000.0
maruti suzuki,ciaz,10.0,37353.0,petrol,manual,premium,500000.0
maruti suzuki,baleno,7.0,61987.0,diesel,manual,economy,488000.0
ford,figo,11.0,78872.0,petrol,manual,economy,270000.0
hyundai,santro xing,21.0,85983.0,petrol,manual,economy,120000.0
ford,figo,9.0,122000.0,petrol,manual,economy,368000.0
hyundai,new i20,3.0,57669.0,petrol,manual,economy,800000.0
maruti suzuki,dzire,7.0,59950.0,petrol,manual,economy,619000.0
ford,ecosport,8.0,28886.0,petrol,automatic,economy,707000.0
hyundai,creta,8.0,43500.0,petrol,automatic,economy,953000.0
kia,carens,4.0,44000.0,petrol,manual,economy,1293000.0
maruti suzuki,dzire,8.0,87095.0,petrol,manual,economy,568000.0
hyundai,eon,15.0,65000.0,petrol,manual,economy,197000.0
hyundai,new elantra,13.0,74341.0,petrol,automatic,economy,270000.0
volkswagen,taigun,4.0,31000.0,petrol,manual,economy,1088000.0
mahindra,xuv300,5.0,18977.0,petrol,automatic,economy,790000.0
honda,brio,12.0,85540.0,petrol,manual,economy,251421.0
renault,kiger,5.0,27045.0,petrol,manual,economy,571000.0
mahindra,xuv500,12.0,76934.0,diesel,manual,economy,614000.0
hyundai,creta,10.0,56504.0,petrol,manual,economy,750000.0
hyundai,grand i10,8.0,66343.0,petrol,manual,economy,460000.0
tata,altroz,4.0,15826.0,petrol,automatic,economy,650000.0
hyundai,creta,4.0,35481.0,petrol,automatic,economy,1500000.0
nissan,micra,12.0,99500.0,petrol,automatic,economy,310000.0
maruti suzuki,alto,14.0,46500.0,petrol,manual,economy,188000.0
