brand,model,variant,locality,rto,fuel_type,transmission,seller_type,color,vehicle_age,odometer_reading,km_per_year,owner_count,certified,pincode,selling_price
ford,ecosport,titanium ecoboost,mysore road,ka-53,petrol,manual,dealer,white,11.0,74500.0,6772.7,2,0.0,560039.0,468000.0
kia,seltos,gtx plus at,unknown,ka-05,diesel,automatic,unknown,unknown,4.0,68348.0,17087.0,1,,,1535000.0
hyundai,venue,sx plus dct,bannerghatta,ka-59,petrol,automatic,dealer,white,7.0,60500.0,8642.9,1,1.0,560076.0,781000.0
hyundai,i20,asta (o) ivt,pin,ka-01,petrol,automatic,dealer,red,2.0,4781.0,2390.5,1,1.0,560066.0,1050000.0
maruti suzuki,baleno,delta,unknown,ka-03,petrol,manual,unknown,unknown,2.0,80104.0,40052.0,1,,,620000.0
toyota,innova crysta,zx 7str,hebbal,ka-51,diesel,manual,dealer,white,1.0,16012.0,16012.0,1,1.0,560023.0,3190000.0
skoda,rapid,active,hebbal,ka-05,petrol,manual,dealer,white,10.0,103909.0,10390.9,1,1.0,560064.0,329629.0
kia,seltos,htk plus at,hebbal,ka-04,diesel,automatic,dealer,unknown,5.0,46000.0,9200.0,1,1.0,562157.0,1178000.0
hyundai,creta,sx (o) 7 dct,hebbal,ka-53,petrol,automatic,dealer,white,4.0,17500.0,4375.0,1,1.0,562157.0,1560000.0
honda,wr-v,vx mt,hebbal,ka-01,petrol,manual,dealer,white,8.0,25617.0,3202.1,2,1.0,560064.0,585886.0
tata,nexon,xm,hebbal,ka-27,diesel,manual,dealer,white,4.0,73579.0,18394.8,1,1.0,560023.0,655000.0
